27.75005,2.03625,2021-02-13,3
27.75005,2.03615,2021-02-13,3
27.75005,2.03605,2021-02-13,3
27.75005,2.03345,2020-06-06,3
27.75005,2.03335,2020-06-06,3
27.75005,2.03325,2020-03-02,3
27.75005,2.03315,2020-01-14,3
27.75005,2.03305,2020-01-14,3
27.75005,2.03295,2020-03-02,3
27.75005,2.03285,2020-08-17,3
27.75005,2.03275,2021-02-01,3
27.75005,2.03265,2021-02-13,3
27.75005,2.02995,2023-12-12,3
27.75005,2.02985,2023-12-12,3
27.75005,2.02975,2024-01-05,3
27.75005,2.02965,2024-09-25,3
27.75005,2.02955,2024-09-25,2
27.75005,2.02475,2023-05-21,3
27.75005,2.02465,2022-08-31,4
27.75005,2.02455,2022-03-16,4
27.75005,2.02445,2022-03-28,4
27.75005,2.02435,2023-05-05,3
27.75005,2.02105,2022-03-16,3
27.75005,2.02095,2022-03-16,3
27.75005,2.02085,2022-03-16,3
27.75005,2.02075,2022-03-16,3
27.75005,2.02065,2022-03-28,3
27.75005,1.8992499999999999,2023-05-10,3
27.75005,1.8409499999999999,2023-02-27,3
27.75005,1.84085,2023-02-27,3
27.75005,1.8407499999999999,2023-02-27,3
27.75005,1.8406500000000001,2023-02-03,3
27.75005,1.84055,2023-02-03,3
27.75005,1.84045,2023-02-03,3
27.75005,1.84035,2023-02-03,3
27.75005,1.84025,2023-07-09,3
27.75005,1.84015,2023-12-24,3
27.75005,1.84005,2024-03-29,3
27.75005,1.8211499999999998,2022-10-30,3
27.75005,1.82105,2022-10-30,3
27.75005,1.8209499999999998,2022-10-30,3
27.75005,1.81365,2023-01-10,3
27.75005,1.81355,2022-12-17,3
27.75005,1.81345,2022-12-17,3
27.75005,1.81335,2023-01-10,3
27.75005,1.81325,2023-02-27,3
27.75005,1.81305,2023-02-27,3
27.75005,1.8129499999999998,2022-10-24,4
27.75005,1.81285,2022-10-24,4
27.75005,1.8127499999999999,2022-10-24,4
27.75005,1.81265,2022-10-24,4
27.75005,1.8125499999999999,2022-10-24,4
27.75005,1.8124500000000001,2022-10-30,3
27.75005,1.81235,2022-10-30,3
27.75005,1.81225,2022-10-30,3
27.75005,1.81215,2022-10-30,3
27.75005,1.81205,2022-10-30,3
27.75005,1.81195,2022-10-24,4
27.75005,1.81185,2022-10-24,3
27.75005,1.81175,2023-05-05,3
27.75005,1.81165,2023-05-05,3
27.75005,1.81155,2023-05-05,3
27.75005,1.81015,2023-02-03,3
27.75005,1.81005,2023-04-04,3
27.75005,1.8047499999999999,2024-01-05,3
27.75005,1.80465,2024-01-05,3
27.75005,1.73975,2024-05-06,2
27.75005,1.73965,2024-05-06,2
27.75005,1.73955,2024-05-06,2
27.75005,1.73945,2024-01-08,3
27.75005,1.73935,2024-01-08,3
27.75005,1.72095,2023-12-24,3
27.75005,1.72085,2023-12-24,3
27.75005,1.72075,2023-12-24,3
27.75005,1.72065,2024-07-15,3
27.75005,1.7205499999999998,2024-05-28,3
27.75005,1.72045,2024-01-05,4
27.75005,1.7203499999999998,2024-01-05,4
27.75005,1.72025,2024-09-25,2
27.75005,1.64875,2024-05-31,3
27.75005,1.64865,2024-05-31,3
27.75005,1.64855,2024-05-31,3
27.75005,1.64745,2024-08-11,2
27.75005,1.6473499999999999,2024-08-11,2
27.75005,1.64695,2024-09-11,2
27.75005,1.64685,2024-09-11,2
27.75005,1.64675,2024-08-02,3
27.75005,1.64665,2024-08-02,3
27.75005,1.64655,2024-08-02,3
27.75005,1.64645,2024-05-31,3
27.75005,1.64635,2024-05-31,3
27.75005,1.64625,2024-05-06,3
27.75005,1.64615,2024-05-06,3
27.75005,1.64605,2024-05-06,3
27.75005,1.64595,2024-05-06,3
27.75005,1.6458499999999998,2024-05-06,3
27.75005,1.44045,2024-04-29,3
27.75005,1.44035,2024-04-29,3
27.75005,1.44025,2023-08-17,3
27.75005,1.44015,2023-08-17,3
27.75005,1.44005,2023-08-17,3
27.75005,1.4399499999999998,2023-08-17,3
27.75005,1.4398499999999999,2023-08-17,3
27.75005,1.4397499999999999,2023-08-17,3
27.75005,1.4396499999999999,2023-08-17,3
27.75005,1.4395499999999999,2023-04-28,4
27.75005,1.43945,2023-01-05,4
27.75005,1.43935,2023-01-05,4
27.75005,1.43925,2023-01-05,3
27.75005,1.43915,2023-01-05,4
27.75005,1.43905,2023-01-05,4
27.75005,1.43895,2023-01-05,4
27.75005,1.43885,2022-12-29,4
27.75005,1.43875,2022-12-29,4
27.75005,1.43865,2022-12-29,4
27.75005,1.43855,2022-12-29,4
27.75005,1.43845,2023-04-19,4
27.75005,1.43835,2023-04-19,4
27.75005,1.43825,2024-08-20,2
27.75005,1.4055499999999999,2024-07-27,3
27.75005,1.4054499999999999,2024-04-10,3
27.75005,1.4053499999999999,2024-04-10,3
27.75005,1.4052499999999999,2023-10-01,3
27.75005,1.40515,2024-02-10,3
27.75005,1.40505,2023-12-24,3
27.75005,1.30585,2023-12-24,3
27.75005,1.30575,2024-01-05,3
27.75005,1.30565,2023-12-24,3
27.75005,1.29975,2023-01-10,3
27.75005,1.29965,2023-01-10,3
27.75005,1.29955,2023-01-10,3
27.75005,1.29945,2022-12-17,3
27.75005,1.29935,2022-12-17,3
27.75005,1.29925,2022-10-01,4
27.75005,1.29915,2022-08-31,4
